WEGINGZ	ENQID	OCT462	POSCO1	POSCO2	RESPNR	VAR001	VAR002	VAR003	VAR006	VAR007	VAR008	VAR012	VAR013	VAR014	VAR015	VAR016	VAR019	VAR036	VAR037	VAR038	VAR039	VAR040	VAR041	VAR042	VAR043	VAR044	VAR045	VAR046	VAR053	VAR058	VAR059	VAR060	VAR061	VAR094	VAR095	VAR100	VAR101	VAR103	VAR107	VAR109	VAR112	VAR113	VAR121	VAR122	VAR124	VAR125	VAR126	VAR127	VAR128	VAR129	VAR130	VAR131	VAR132	VAR133	VAR134	VAR135	VAR136	VAR137	VAR138	VAR139	VAR140	VAR149	VAR150	VAR154	VAR154A	VAR155	VAR156	VAR157	VAR157A	VAR167	VAR171	VAR172	VAR173	VAR174	VAR179	VAR180	VAR181	VAR182	VAR183	VAR184	VAR185	VAR198	VAR200	VAR201	VAR204	VAR205	VAR206	VAR207	VAR208	VAR209	VAR210	VAR211	VAR212	VAR217	VAR218	VAR219	VAR220	VAR222	VAR223	VAR224	VAR225	VAR226	VAR227	VAR228	VAR229	VAR233	VAR234	VAR235	VAR271	VAR272	VAR273	VAR274	VAR275	VAR277	VAR347	VAR351	VAR402	VAR407	VAR408	VAR409	VAR410	VAR411	VAR412	VAR413	VAR414	VAR430	VAR431	VAR433	VAR434	VAR437	VAR439	VAR445	VAR454	VAR456	VAR461	VAR462	VAR466	VAR467	VAR468	VAR469	VAR470	VAR471	VAR472	VAR473	VAR474	VAR475	VAR476	VAR477	VAR478	VAR479	VAR480	VAR481	VAR482	VAR483	VAR484	VAR485	VAR491	VAR493	VAR494	VAR495	VAR496	VAR497	VAR498	VAR499	VAR500	VAR503	VAR504	VAR505	VAR506	VAR507	VAR508	VAR515	VAR516	VAR517	VAR519	VAR522	VAR529	VAR530	VAR544	VAR546	VAR551	VAR555	VAR556	VAR557	VAR558	VAR559	VAR560	VAR588	VAR589A	VAR589B	VAR589C	VAR589D	VAR589E	VAR589F	VAR591	VAR592	VAR594	VAR599	VAR600	VAR626	VAR627	VAR628	VAR629	VAR630	VAR631	VAR632A	VAR633	VAR640	VAR643	VAR644	VAR645	VAR646	VAR647	VAR648	VAR651	VAR652	VAR677	VAR678	VAR681	VAR682	VAR683A	VAR683B	VAR683C	VAR683D	VAR683E	VAR683F	VAR683G	VAR683H	VAR684	VAR685A	VAR685B	VAR685C	VAR685D	VAR685E	VAR685F	VAR685G	VAR685H	VAR685I	VAR685J	VAR685K	VAR685L	VAR685M	VAR687	VAR688	VAR689	VAR698	VAR701A	VAR701B	VAR701C	VAR701D	VAR701E	VAR701F	VAR701G	VAR701H	VAR701I	VAR701J	VAR701K	VAR702A	VAR702B	VAR702C	VAR728A	VAR728B	VAR728C	VAR728D	VAR728E	VAR728F	VAR729A	VAR729B	VAR729C	VAR729D	VAR729E	VAR729F	VAR746	VAR747	VAR748	VAR749	VAR750	VAR751	VAR752	VAR753	VAR754	VAR758	VAR759	VAR760	VAR761	VAR762	VAR763	VAR764	VAR765	VAR766	VAR767	VAR792	VAR793	VAR794	VAR795	VAR796	VAR797	VAR798	VAR805	VAR806	VAR807	VAR808	VAR809	VAR810	VAR811	VAR812	VAR813	VAR814	VAR832	VAR833	VAR834	VAR835A	VAR835B	VAR836	VAR837	VAR838	VAR842	VAR843	VAR844	VAR845	VAR846	VAR847	VAR848	VAR849	VAR850	VAR851	VAR853	VAR854	VAR855	VAR872	VAR873	VAR874	VAR875	VAR876	VAR877	VAR880	VAR888	VAR889	VAR890	VAR891	VAR892	VAR893	VAR894	VAR901	VAR902	VAR903	VAR904	VAR905	VAR906	VAR907	VAR908	VAR909	VAR910	VAR911	VAR912	VAR913	VAR914	VAR915	VAR916	VAR917	VAR918	VAR919	VAR920	VAR921	VAR922	VAR923	VAR924	VAR925	VAR926	VAR927	VAR928	VAR929	VAR930
1	8103002	5	2532	"AB"	1290	1	24	1	3	1	-5	3	2	-5	-5	9	1	1	4	1	2	2	2	-5	1	1	1	1	1	2	2	1	2	1	1	2	1	1	1	1	5	4	1	5	2	1	1	2	2	2	2	1	1	1	1	1	3	2	1	2	1	2	3	3	2	2	2	3	3	2	-3	1	1	2	1	2	1	2	2	1	1	1	1	1	5	-3	-3	-3	-3	-3	-3	-3	-3	-5	-5	-5	-5	1	1	2	2	2	2	2	3	2	2	1	3	3	2	1	10	10	1	2	5	2	2	1	1	3	3	3	1	2	2	5	2	-3	2	5	-3	2	1	6	1	1	2	2	3	3	1	1	2	-3	2	2	1	1	3	3	2	2	3	1	2	2	2	2	2	3	-5	1	-5	2	-3	4	2	-3	1	2	2	1	1	2	1	1	1	3	1	1	3	2	1	1	5	1	1	1	1	1	1	4	3	2	3	2	2	1	29	49	8	1	1	518	8	3	3	-5	3	-5	-5	4	3	3	2	1	1	4	1	2	3	2	2	1	1	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	1	3	0	0	10	10	5	0	0	20	20	10	25	5	0	5	3	3	3	2	3	1	3	3	3	3	3	3	1	1	1	1	1	1	1	2	2	3	1	2	2	2	1	0	99	13	7	4	1	5	5	5	5	5	-5	4	4	2	4	2	-5	4	1	-7	3	3	2	1	-5	5	1	5	5	4	-3	1	-3	1	5	5	-3	2	1	1	1	1	1	2	1	3	1	3	2	-5	-5	-5	-5	-5	-5	1	1	2	6	0	1	24	2	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1	8103002	2	2271	"XH"	1291	2	28	3	7	2	6	1	-5	7	-5	-5	1	2	2	1	1	1	1	4	4	2	2	1	2	1	1	4	1	2	2	1	1	1	2	1	4	2	2	2	2	1	2	1	2	2	1	1	1	2	2	1	-5	2	1	-6	1	1	2	3	2	3	3	-3	-3	3	2	1	1	1	1	1	1	1	1	1	1	3	1	1	5	-3	-3	2	2	2	3	-3	2	-5	-5	-5	-5	-3	3	2	2	2	2	2	5	2	2	1	2	2	2	1	1	1	1	4	4	2	2	1	3	1	3	1	2	4	4	2	4	5	4	4	5	3	2	3	1	1	2	1	1	1	-6	1	1	2	1	1	1	1	1	2	2	2	1	1	2	2	2	1	1	3	-5	1	-5	2	4	4	4	-3	2	2	3	1	1	1	1	1	1	1	4	3	2	2	3	2	1	1	1	1	1	1	1	1	3	1	3	1	2	1	29	49	8	4	6	624	0	2	3	-5	1	1	-5	3	1	5	2	1	4	3	1	3	3	3	3	1	3	3	5	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	2	5	10	5	5	0	15	0	15	15	5	25	4	3	3	3	3	3	3	2	3	3	3	3	3	1	3	1	1	1	1	1	1	1	2	2	1	1	2	1	1	4	2	1	4	4	2	2	4	4	2	5	5	-5	2	4	5	5	3	-5	4	1	2	2	2	2	1	-5	2	4	1	2	2	1	1	2	1	4	2	1	3	3	4	2	3	1	2	1	3	2	2	1	3	3	2	2	1	3	2	1	1	6	0	0	0	2	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1	8103014	2	2516	"LX"	1294	1	74	1	4	1	-5	-6	1	-6	-6	-6	1	5	1	1	1	1	2	-5	1	1	2	-5	-5	2	2	3	-3	1	2	2	2	2	4	2	5	5	4	4	1	2	2	-6	1	1	1	2	1	2	1	1	-6	2	1	2	1	3	3	3	3	3	-3	-3	3	3	1	1	1	1	2	2	1	2	2	1	1	1	1	1	5	-3	-3	-3	-3	-3	-3	-3	3	-5	-5	-5	-5	1	1	2	2	2	2	2	2	2	2	2	3	3	1	3	-5	22	1	1	4	1	-3	1	3	3	3	3	1	1	1	3	2	2	2	4	4	4	3	3	2	2	3	3	2	1	1	1	1	3	1	2	1	3	1	2	3	3	1	3	1	2	2	2	2	3	-5	1	-5	2	1	4	2	4	1	2	2	2	1	3	1	2	1	2	-6	1	1	1	2	2	4	1	1	1	1	1	1	4	1	-6	4	-6	-6	1	29	49	8	1	1	518	9	1	-5	-5	-5	-5	2	-5	3	2	2	-6	3	2	1	2	2	2	2	1	1	3	2	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	10	15	0	0	0	0	20	20	10	25	3	3	4	2	1	3	1	1	2	3	2	3	2	3	2	1	1	3	1	1	1	1	2	2	1	3	2	3	3	2	2	8	1	1	1	5	1	1	2	2	4	-5	-5	-5	1	1	-5	-5	5	1	-7	1	1	2	2	2	1	4	1	5	5	2	1	3	2	1	5	4	2	1	1	2	3	1	2	1	2	2	1	1	2	3	3	2	2	2	1	1	3	6	0	1	74	2	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	8103014	6	2526	"TK"	1295	2	51	1	1	1	-5	3	1	1	1	-5	2	4	4	2	2	4	2	-5	4	4	3	1	2	2	2	3	-3	-3	2	2	2	2	2	3	5	2	4	4	3	-3	1	1	1	-3	2	1	1	1	1	1	1	2	-3	2	-3	-3	-3	-3	3	-3	3	-3	-3	1	1	1	1	1	-3	2	-3	-3	-3	-3	-3	5	2	5	1	1	1	-3	-3	-3	-3	3	1	4	4	4	2	-3	-3	-3	2	-3	-3	-3	2	2	2	2	-3	-3	-3	3	-5	-6	-3	5	2	1	-3	3	2	3	3	3	3	2	3	4	2	3	-3	-3	2	-3	-3	7	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	1	1	1	1	1	2	2	2	1	-3	2	2	2	2	3	-5	1	-5	-3	-3	-3	-3	-3	-3	3	-5	3	3	-3	-3	3	3	1	3	3	2	1	1	4	1	1	1	1	1	-3	1	-3	2	2	-3	2	2	1	29	49	8	1	1	518	9	1	-5	-5	-5	-5	1	4	5	5	2	2	3	2	1	3	2	3	3	3	1	3	7	0	1	1	0	1	0	1	0	1	0	0	0	0	1	1	1	2	5	0	0	0	5	10	5	20	20	10	25	8	0	2	2	3	3	3	1	3	1	3	1	3	2	3	3	3	3	1	3	1	3	3	-3	1	1	-3	3	3	-6	-6	3	-6	6	-3	-3	-3	-3	-3	-3	4	1	-5	-5	2	2	-5	-5	5	1	-7	2	2	2	2	3	-3	4	2	-3	5	5	5	5	5	-3	-3	3	-3	-3	2	-3	1	-3	-3	-3	3	1	-6	1	2	1	1	2	1	2	2	2	1	1	0	1	51	2	51	1	23	2	22	2	16	0	0	0	0	0	0	0	0	0	0	1	89	2	89	7
1	8103014	3	2526	"TK"	91295	1	23	1	1	1	-5	3	3	-5	-5	9	2	5	4	2	2	4	2	-5	4	4	3	2	2	-3	-3	-3	-3	-3	1	1	1	1	1	3	5	-3	4	5	2	-3	2	2	2	2	-3	1	2	2	2	1	3	2	1	2	1	3	4	-3	3	-3	3	-3	-3	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1	1	1	1	2	1	1	-5	-5	-5	-5	3	1	2	2	2	2	2	1	1	2	1	-3	-3	2	3	-5	-6	2	4	2	1	-3	1	3	1	3	3	2	-3	-3	5	4	5	-3	5	2	5	-3	4	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	5	2	2	2	2	3	-5	5	2	-3	-3	4	-3	-3	-3	2	2	2	1	2	1	2	-3	2	3	3	1	3	3	1	4	1	1	1	1	4	1	4	-6	2	4	2	2	1	29	49	8	1	1	518	9	3	2	-5	2	-5	-5	5	1	5	-3	2	4	2	3	3	2	3	3	1	1	3	7	0	1	1	0	1	0	1	0	0	0	0	0	0	1	2	1	2	5	10	10	10	5	10	5	10	15	10	10	6	2	2	3	3	3	3	3	3	3	3	3	3	3	3	1	1	3	3	3	1	3	2	2	2	2	2	1	1	10	-6	-3	-6	11	-3	-3	-3	-3	-3	-3	-3	-5	5	1	2	4	2	-5	2	2	-7	3	3	2	1	-5	2	2	4	4	4	2	1	1	1	1	2	-6	2	2	2	2	-3	-3	-3	-3	3	1	1	3	-5	-5	-5	-5	-5	-5	2	3	1	1	0	1	51	2	51	1	23	2	22	2	16	0	0	0	0	0	0	0	0	0	0	1	89	2	89	3
1	8103014	2	2526	"TK"	1296	1	66	1	2	1	-5	1	-5	4	-6	-6	1	5	1	1	1	4	2	-5	3	-6	-6	-5	-5	1	2	3	1	3	2	2	1	1	1	1	5	2	1	2	1	2	1	2	2	2	2	1	1	1	1	1	-5	2	1	2	1	3	4	3	2	3	3	3	3	1	1	1	1	1	1	2	1	1	2	1	2	3	1	1	5	2	2	2	2	2	3	-3	3	-5	-5	-5	-5	3	1	2	2	-3	2	2	1	2	2	2	2	2	2	1	1	1	1	2	1	1	2	1	3	1	3	3	1	2	2	1	2	2	1	5	1	5	2	3	1	2	2	2	2	2	1	1	1	2	2	1	1	1	2	3	3	3	3	3	1	2	2	2	2	3	-5	1	-5	2	1	4	1	1	1	2	2	1	1	2	1	2	3	4	-6	1	1	1	2	1	1	1	1	1	1	4	-6	4	1	2	2	2	2	1	29	49	8	1	1	518	9	1	-5	-5	-5	-5	2	-5	1	-5	5	2	5	2	1	2	2	3	2	1	1	2	2	0	1	0	1	1	0	1	0	0	0	0	0	0	1	1	1	3	5	0	10	0	0	10	10	20	20	0	25	4	0	3	2	1	2	1	2	2	3	2	1	2	1	1	3	1	3	3	2	1	1	1	2	2	4	2	3	3	11	0	4	1	4	2	2	2	2	3	2	3	-5	-5	-5	5	5	-5	-5	5	2	-7	4	4	2	1	-5	1	5	5	1	1	2	4	1	1	1	5	2	4	2	2	4	2	1	1	1	2	2	2	3	-5	-5	-5	-5	-5	-5	1	1	2	6	0	1	66	2	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	8103014	3	2572	"RK"	1297	2	51	4	3	1	-5	3	2	-5	-5	6	2	5	3	1	1	2	2	-5	2	3	3	2	2	2	2	4	1	2	2	3	3	2	3	3	4	3	4	4	3	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	3	4	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	1	1	1	1	1	1	1	1	1	1	5	-3	-3	-3	-3	-3	3	3	3	-5	-5	-5	-5	1	1	2	2	2	2	2	3	1	1	1	3	3	2	1	1	1	2	5	2	1	3	1	3	1	3	1	3	2	2	1	2	4	-3	2	2	1	2	4	1	1	2	2	2	2	2	2	2	3	1	1	1	1	2	2	3	2	2	2	2	2	2	2	2	3	-5	5	5	-3	1	3	2	2	-3	1	3	1	1	1	-3	2	2	2	3	2	2	2	1	3	3	-6	1	1	1	4	1	4	2	2	2	2	2	1	29	49	8	1	1	518	6	3	2	-5	2	-5	-5	5	1	5	2	1	4	2	3	3	2	3	3	3	1	3	5	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	1	2	10	10	10	10	10	10	5	5	5	10	15	8	0	2	2	3	3	3	3	3	3	3	3	3	3	3	1	1	2	1	2	2	2	1	2	1	1	2	-6	2	2	1	2	1	2	2	3	4	4	2	4	4	-5	4	1	2	3	2	-5	3	-6	-6	2	2	2	2	2	2	4	3	4	3	2	2	3	2	1	2	2	2	3	2	2	2	1	-3	-3	3	2	2	1	2	2	1	1	1	1	2	1	1	6	0	0	0	2	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1	8103014	2	2572	"RK"	1298	1	27	1	3	1	-5	1	-5	2	3	9	1	6	3	2	2	4	2	-5	-6	-6	-6	-5	-5	1	2	2	2	2	2	4	1	2	4	1	-3	3	1	5	1	-6	1	1	1	1	1	1	1	1	1	1	-5	1	1	2	-3	3	4	-3	-3	-3	3	-3	-3	1	1	1	1	1	1	2	1	2	2	2	-6	5	1	5	4	1	1	1	1	1	1	1	1	3	3	3	2	1	1	1	2	2	2	2	3	1	2	1	-3	-3	-3	3	-5	-6	4	4	1	1	-3	1	1	1	3	3	3	1	-6	2	2	5	-3	4	1	1	-3	3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	1	1	-3	-3	-3	-3	-3	-3	-3	3	2	2	2	2	3	-5	1	-5	2	1	4	-3	3	1	1	3	3	3	2	2	3	3	1	1	2	2	1	4	4	4	1	1	1	1	4	4	4	-3	2	4	2	2	1	29	49	8	1	1	518	6	1	-5	-5	-5	-5	2	-5	5	-5	-3	2	4	2	3	3	2	3	3	1	1	3	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	1	3	10	10	10	5	10	10	5	10	15	5	10	4	3	3	3	3	3	3	2	3	3	3	3	3	2	3	3	3	3	3	3	1	3	3	2	1	1	2	3	3	3	0	10	11	1	4	2	4	-3	-3	4	-3	-5	-5	-5	1	5	-5	-5	-3	2	-7	3	2	1	2	2	2	2	4	-3	5	3	4	1	1	1	4	1	-3	-3	2	2	-3	-3	-3	-3	-6	1	1	1	3	3	1	1	1	1	1	1	1	6	0	1	27	2	26	1	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1	8103014	1	2572	"RK"	1299	1	43	3	1	1	-5	1	-5	2	1	-5	1	4	1	1	1	2	2	-5	4	4	4	-5	-5	1	1	3	-3	1	2	2	2	2	2	1	-3	-3	1	3	1	-3	3	2	2	1	1	2	2	2	2	2	-5	2	1	2	1	2	2	-3	-3	-3	3	-3	-3	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	5	1	1	1	1	1	1	1	3	-5	-5	-5	-5	-3	-3	-3	-3	-3	-3	-3	2	2	2	2	-3	-3	2	1	1	1	-3	1	2	1	2	1	3	1	3	3	3	-3	-3	2	-3	-3	-3	2	2	3	2	2	1	2	2	2	2	2	2	2	2	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	-6	5	4	1	2	4	1	-3	-3	2	2	2	1	1	1	2	1	4	4	-3	-3	2	2	1	3	1	1	1	1	1	1	4	2	2	3	2	2	1	29	49	8	1	1	518	6	1	-5	-5	-5	-5	2	-5	4	3	4	2	-3	2	1	2	2	2	2	1	1	2	5	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	5	5	5	5	0	0	0	20	20	10	25	5	5	0	2	1	2	1	2	2	1	2	2	2	3	1	1	1	1	1	1	1	1	2	2	3	3	2	-3	-6	-3	0	8	6	10	-3	-3	2	-3	1	5	5	-5	-5	-5	4	4	-5	-5	4	2	-7	2	3	3	1	-5	1	2	1	3	-3	2	1	2	1	5	4	4	4	4	2	2	3	-3	-3	-3	3	1	1	1	3	3	3	3	3	3	2	1	2	6	0	1	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	8103014	1	2516	"RB"	1300	2	51	4	1	1	-5	2	1	1	3	8	1	5	4	1	2	2	2	-5	-6	-6	-6	1	-3	-3	2	3	1	-3	-3	-3	-3	2	1	2	5	1	2	-3	1	-3	2	1	1	2	1	2	-3	1	2	1	-6	2	1	2	1	3	4	3	-3	3	-3	-3	3	-3	1	1	1	1	1	2	1	1	2	1	1	5	1	5	5	-3	-3	-3	-3	-3	-3	2	1	1	1	1	2	-3	1	2	2	2	2	2	1	2	2	2	-3	-3	2	1	1	1	1	5	1	1	3	1	3	1	3	2	3	-3	2	2	2	4	2	2	3	2	3	3	1	1	1	1	2	1	1	2	-6	2	1	1	1	1	2	2	2	2	2	2	5	2	2	2	2	3	-5	1	-5	-3	2	4	1	-3	2	1	3	2	1	2	1	3	3	2	-6	-3	2	1	-3	3	2	1	1	1	1	3	1	4	2	2	2	2	2	1	29	49	8	1	1	518	9	1	-5	-5	-5	-5	1	5	2	4	3	2	4	2	-3	2	3	3	3	1	1	3	5	0	0	0	0	0	0	0	0	0	0	0	0	1	2	-5	-3	3	5	10	5	5	5	15	5	10	10	5	25	4	3	3	2	1	3	3	2	3	3	2	3	3	2	3	1	1	3	3	3	1	1	1	3	2	2	3	3	3	1	0	1	13	8	2	4	2	2	1	5	2	2	-5	-5	5	2	-5	-5	4	2	-7	1	1	1	2	2	-3	2	4	4	4	2	2	3	1	1	4	1	2	2	1	1	2	-3	-3	-3	2	1	1	1	2	1	2	1	2	1	1	1	1	6	0	0	0	2	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1	8103014	2	2516	"RB"	1301	2	23	3	3	1	-5	3	2	-5	-5	7	2	5	4	2	1	1	2	-5	3	3	3	1	-3	2	2	3	1	1	1	2	2	2	2	2	-3	2	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	3	3	3	3	3	3	-3	-3	1	1	1	1	1	1	1	1	1	-6	1	1	5	2	1	5	-6	-6	-3	-3	-3	3	3	-6	-5	-5	-5	-5	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	-6	1	3	3	1	3	1	3	1	3	1	3	2	2	2	3	5	4	2	3	2	2	4	1	-6	-6	-6	-6	1	-6	-6	2	2	1	-6	-6	2	2	2	-6	-6	-6	3	4	2	-6	2	2	3	-5	1	-5	-3	3	4	-3	2	2	2	2	-6	1	-6	1	1	1	1	2	2	2	2	1	1	2	1	1	1	1	1	1	1	2	2	3	2	2	1	29	49	8	1	1	518	9	3	2	-5	2	-5	-5	4	4	2	4	2	5	2	1	3	3	-6	-6	1	1	-6	7	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	1	1	10	15	10	5	5	10	10	5	5	10	15	5	5	0	1	3	3	3	2	3	3	3	3	3	-6	3	1	-6	1	1	1	1	1	1	-6	1	1	-6	3	3	6	0	1	1	9	4	5	-3	-3	5	-3	5	-5	5	1	4	4	2	-5	5	1	1	1	1	1	2	2	2	2	4	5	4	1	1	1	1	1	1	3	4	1	1	1	3	1	1	1	2	1	1	-6	-6	-6	-6	-6	-6	-6	2	2	1	2	0	0	0	2	23	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	18	2	17	2
1	8103014	0	2516	"RB"	91301	2	17	3	5	2	3	3	1	7	-5	-5	2	5	3	2	1	2	2	-5	4	4	4	-5	-5	2	2	-3	-3	1	1	2	2	2	2	2	5	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	-5	2	1	2	1	3	-3	-3	-3	-3	-3	-3	-3	2	1	1	1	1	1	1	1	1	1	1	1	5	-6	1	5	-3	-6	-3	-3	-6	3	3	3	-5	-5	-5	-5	1	1	2	2	2	2	2	2	2	2	2	3	3	2	3	-5	20	1	4	4	1	3	1	3	1	3	1	3	2	2	2	3	5	4	2	3	1	2	-5	-6	-6	-6	-6	-6	1	2	2	2	2	1	-6	-6	1	2	-6	-6	3	-6	3	5	2	2	2	2	3	-5	1	-5	2	-3	3	-3	-3	-3	2	-6	-6	1	1	1	1	1	1	2	3	1	1	3	1	2	1	1	1	1	3	1	4	2	2	2	2	2	1	29	49	8	1	1	518	9	1	-5	-5	-5	-5	2	-5	3	3	-6	2	4	3	1	3	3	-6	3	1	1	3	7	0	1	0	1	0	0	1	0	0	0	0	0	0	1	-6	1	2	10	10	5	5	5	10	5	10	10	5	25	3	3	4	2	3	3	3	2	-6	3	3	3	3	3	3	1	1	2	2	1	1	1	2	-6	1	1	-6	-6	3	2	-3	8	1	7	-3	-3	-3	-3	-3	-3	-3	-5	4	1	4	4	-5	-5	5	1	1	1	-6	1	2	2	2	2	5	4	4	1	1	1	1	1	1	4	3	1	1	1	3	1	1	1	3	1	1	1	2	2	2	2	2	-6	2	3	1	2	0	0	0	2	23	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	18	2	17	-5
1	8103014	2	2516	"RA"	1302	1	48	3	1	1	-5	3	2	-5	-5	7	1	5	2	1	1	2	2	-5	-6	-6	-6	-5	-5	2	2	3	1	3	2	2	2	2	2	2	3	5	2	4	4	1	3	2	1	2	2	1	1	2	2	2	3	2	1	2	-6	2	3	3	2	3	2	-3	-3	2	2	1	1	1	1	2	1	1	2	1	1	2	1	1	5	2	2	2	2	2	-3	3	3	-5	-5	-5	-5	3	1	2	2	2	2	2	2	1	2	2	-3	3	2	1	8	6	4	1	4	2	2	1	3	1	3	1	3	2	4	4	2	3	4	5	3	5	4	4	1	1	2	1	1	1	1	1	2	2	2	2	1	1	1	2	3	3	1	1	2	2	2	2	2	3	-5	1	-5	2	4	4	1	4	2	3	-5	2	1	3	1	1	3	1	-6	4	3	4	2	1	4	3	1	1	1	4	1	4	3	2	4	2	1	1	29	49	8	1	1	518	9	-6	-5	-5	-5	-5	2	-5	4	3	4	2	2	4	3	3	3	3	3	1	1	3	7	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	1	-3	0	0	15	10	5	5	0	20	10	10	25	0	0	0	3	3	3	3	3	3	3	3	1	3	3	3	1	1	3	3	1	1	1	3	2	1	1	3	1	1	5	0	12	6	7	-6	2	2	1	4	5	4	-5	2	4	2	4	-5	-5	3	2	2	4	4	4	1	-5	1	1	4	4	1	5	4	4	2	1	5	4	4	4	2	2	3	1	2	1	2	3	2	1	3	3	2	2	3	2	1	2	1	2	0	1	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	30	1	19	1
1	8103014	1	2516	"RA"	91302	1	19	3	2	1	-5	1	-5	2	3	8	1	5	3	1	2	4	2	-5	-6	-6	-6	-5	-5	1	2	2	2	3	1	4	2	2	2	2	-3	3	1	5	-3	1	2	2	2	1	1	1	2	2	1	1	-5	-3	1	-3	1	3	5	-3	2	3	2	-3	-3	3	2	1	1	1	1	-3	1	2	2	1	1	5	1	1	5	-3	-3	-3	-3	-3	2	2	3	-5	-5	-5	-5	3	1	2	2	2	2	2	2	2	2	-3	-3	-3	2	3	-5	20	4	2	4	1	-3	1	3	1	3	1	1	2	5	5	4	3	3	5	3	4	2	2	1	1	2	2	1	1	1	1	2	2	2	2	1	1	1	2	2	3	2	1	4	2	2	2	2	3	-5	1	-5	2	-3	4	2	-3	2	-3	-3	-3	1	3	1	-3	3	1	-6	2	3	2	2	1	4	3	1	1	1	-3	-3	-3	3	2	4	2	2	1	29	49	8	1	1	518	9	1	-5	-5	-5	-5	2	-5	3	3	-3	2	4	2	3	3	3	3	3	1	1	3	7	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	1	-3	0	5	5	5	5	5	5	20	15	10	25	3	4	3	3	3	2	3	3	3	3	3	3	3	3	3	1	1	3	3	1	1	1	2	2	1	1	2	1	1	2	0	-3	1	-6	4	2	2	2	4	-3	5	-5	-5	-5	2	4	-5	-5	3	-3	-7	4	4	4	1	-5	3	1	4	4	5	4	2	4	2	1	5	-3	-3	2	2	-3	-3	1	2	1	2	3	2	1	3	3	2	3	2	2	1	3	1	2	0	1	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	30	1	19	1
